home,away,home_win,draw,away_win,score
Uruguay,Cape Verde,0.7503867078872841,0.1464527450398916,0.10316054707282421,2-0
France,Iraq,0.8144274283288948,0.11581656029881918,0.069756011372286,3-0
Norway,Senegal,0.4957242600016368,0.22465564201812166,0.27962009798024157,1-1
Argentina,Austria,0.7925923189931605,0.12506867433148053,0.08233900667535894,3-0
Jordan,Algeria,0.3755210258956206,0.2327700816961657,0.3917088924082137,1-1
Portugal,Uzbekistan,0.6874174859534983,0.16952751401517757,0.1430550000313241,2-1
Colombia,DR Congo,0.7119724066362819,0.16313785438665718,0.12488973897706089,2-0
England,Ghana,0.8555717096374572,0.09372342146602226,0.050704868896520545,3-0
Panama,Croatia,0.3511400409458889,0.2305037780222924,0.4183561810318186,1-1
Mexico,Czech Republic,0.7751949892488311,0.1333807702164841,0.09142424053468483,2-0
South Africa,South Korea,0.26704948787332444,0.22494138004525618,0.5080091320814194,1-1
Canada,Switzerland,0.5729599315234437,0.20581887062556511,0.22122119785099117,2-1
Bosnia and Herzegovina,Qatar,0.5552544398041351,0.20939154416165048,0.23535401603421433,2-1
Scotland,Brazil,0.2738647603089262,0.21992805942321156,0.5062071802678622,1-1
Morocco,Haiti,0.765623274041126,0.1381304167321949,0.09624630922667915,2-0
United States,Turkey,0.5107657561584115,0.21847719343786115,0.27075705040372733,1-1
Paraguay,Australia,0.5085154951353014,0.21869919902994991,0.27278530583474875,1-1
Curaçao,Ivory Coast,0.33843222934720923,0.22657386611048896,0.4349939045423017,1-1
Ecuador,Germany,0.512064148814151,0.2148996043674617,0.27303624681838734,2-1
Japan,Sweden,0.7496056468398579,0.144857133136512,0.10553722002363014,2-0
Tunisia,Netherlands,0.30748064370407724,0.22615914399114537,0.46636021230477737,1-1
Egypt,Iran,0.4374775494739681,0.2299663871077685,0.3325560634182634,1-1
New Zealand,Belgium,0.27874252899872404,0.21703076285793338,0.5042267081433425,1-1
Cape Verde,Saudi Arabia,0.4870177335791564,0.22640081006914128,0.2865814563517023,1-1
Uruguay,Spain,0.3108859445312524,0.22534564237535715,0.4637684130933904,1-1
Norway,France,0.29208316878560187,0.2251309741616447,0.48278585705275345,1-1
Senegal,Iraq,0.6327313667094877,0.1922788359333883,0.17498979735712397,2-1
Algeria,Austria,0.5693425224989007,0.2060007510117806,0.22465672648931867,2-1
Jordan,Argentina,0.17384894792355166,0.18977462510985113,0.6363764269665972,1-2
Colombia,Portugal,0.4846740730384477,0.22424175266095256,0.29108417430059974,1-1
DR Congo,Uzbekistan,0.4545483497771917,0.22818959668523656,0.3172620535375717,1-1
Panama,England,0.2763972285692147,0.22068041270613925,0.5029223587246461,1-1
Croatia,Ghana,0.8008923970101877,0.1222187916065845,0.0768888113832278,3-0
